                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.69498,                0.73738,                 1.2197,                0.89125,                  0.887,                0.93573,                0.72583,                0.84344,                0.62722,                 1.3111,             0.00023229,             0.00023229,             0.00023229
                     36,                0.70325,                0.73255,                 1.2191,                0.87681,                0.88796,                0.93156,                 0.7234,                0.84734,                0.64683,                 1.3119,             0.00022887,             0.00022887,             0.00022887
                     37,                 0.6912,                0.72083,                 1.2138,                0.86758,                0.90406,                0.93162,                0.72076,                0.83616,                0.63172,                 1.3115,             0.00022546,             0.00022546,             0.00022546
                     38,                0.69066,                0.71764,                 1.2123,                0.85958,                0.91688,                0.92706,                0.71936,                0.84856,                0.63633,                 1.3209,             0.00022204,             0.00022204,             0.00022204
                     39,                0.69554,                 0.7221,                 1.2173,                0.87803,                0.89749,                0.93855,                 0.7274,                0.84634,                0.63006,                 1.3103,             0.00021863,             0.00021863,             0.00021863
                     40,                0.70025,                 0.7126,                 1.2202,                0.87562,                0.90806,                0.93948,                0.73138,                0.83254,                  0.619,                 1.3041,             0.00021521,             0.00021521,             0.00021521
                     41,                0.68626,                0.70886,                  1.209,                0.87797,                0.89387,                0.93701,                0.73009,                0.82878,                0.63429,                 1.2825,              0.0002118,              0.0002118,              0.0002118
                     42,                 0.6885,                0.68933,                 1.2074,                0.88596,                0.90597,                0.94417,                0.74264,                0.81404,                0.59157,                 1.2759,             0.00020838,             0.00020838,             0.00020838
                     43,                0.68356,                0.69817,                 1.2069,                 0.8894,                 0.9084,                0.93586,                0.73186,                0.82621,                0.60963,                 1.2873,             0.00020496,             0.00020496,             0.00020496
                     44,                0.68258,                0.67859,                 1.1977,                0.88892,                0.89669,                0.93787,                0.73267,                0.84911,                0.62717,                 1.3274,             0.00020155,             0.00020155,             0.00020155
                     45,                0.67629,                 0.6739,                 1.2003,                0.88711,                0.89035,                 0.9337,                0.73488,                0.82437,                0.60909,                 1.2843,             0.00019813,             0.00019813,             0.00019813
                     46,                0.66603,                0.66547,                 1.1972,                0.87021,                0.90161,                0.93553,                0.73068,                0.82496,                0.59738,                 1.2814,             0.00019472,             0.00019472,             0.00019472
                     47,                0.67848,                0.68098,                 1.2018,                0.88933,                0.89533,                0.94063,                0.73597,                0.83489,                0.59532,                  1.304,              0.0001913,              0.0001913,              0.0001913
                     48,                0.66864,                0.65749,                 1.1934,                0.88918,                0.89894,                0.93625,                0.73141,                0.82555,                0.59968,                 1.2861,             0.00018789,             0.00018789,             0.00018789
                     49,                0.66626,                0.66342,                 1.1929,                0.86093,                0.91017,                0.93442,                0.73336,                0.82924,                0.61147,                 1.2839,             0.00018447,             0.00018447,             0.00018447
                     50,                0.65706,                0.65191,                 1.1902,                0.88249,                0.90628,                0.93898,                0.73132,                0.82392,                 0.5921,                 1.2771,             0.00018106,             0.00018106,             0.00018106
                     51,                0.65565,                0.64622,                 1.1836,                0.88572,                0.89927,                0.94119,                0.74013,                0.81611,                0.58152,                  1.282,             0.00017764,             0.00017764,             0.00017764
                     52,                0.64968,                 0.6311,                 1.1815,                 0.8833,                0.89565,                0.93419,                0.73143,                0.83043,                 0.5972,                 1.2873,             0.00017422,             0.00017422,             0.00017422
                     53,                0.66025,                 0.6492,                 1.1902,                0.88559,                0.90158,                0.93948,                0.73294,                0.83293,                0.59442,                 1.2973,             0.00017081,             0.00017081,             0.00017081
                     54,                0.66309,                0.62937,                  1.187,                0.87882,                0.91157,                0.93941,                0.73833,                0.80958,                0.58078,                  1.267,             0.00016739,             0.00016739,             0.00016739
                     55,                0.64761,                0.63132,                 1.1815,                0.88716,                0.89781,                 0.9421,                0.74184,                0.81518,                0.59944,                 1.2811,             0.00016398,             0.00016398,             0.00016398
                     56,                0.65115,                0.62835,                 1.1814,                0.89479,                0.90238,                0.94316,                0.74549,                0.81682,                0.57993,                 1.2866,             0.00016056,             0.00016056,             0.00016056
                     57,                 0.6552,                0.61754,                  1.183,                0.88628,                0.89626,                0.93497,                0.72948,                0.83261,                0.59723,                 1.2798,             0.00015715,             0.00015715,             0.00015715
                     58,                0.64329,                0.61741,                 1.1805,                0.88604,                0.90361,                0.93949,                0.74844,                0.80272,                0.57886,                  1.262,             0.00015373,             0.00015373,             0.00015373
                     59,                0.63705,                0.60634,                 1.1726,                0.89975,                0.90463,                0.94021,                0.74705,                0.79961,                0.55664,                 1.2539,             0.00015032,             0.00015032,             0.00015032
                     60,                0.63919,                0.59695,                 1.1676,                0.87962,                0.91653,                0.94345,                0.74424,                 0.8177,                0.55949,                 1.2837,              0.0001469,              0.0001469,              0.0001469
                     61,                0.63168,                0.59312,                 1.1716,                 0.8935,                0.91287,                0.94169,                0.74299,                0.80844,                0.55546,                 1.2579,             0.00014349,             0.00014349,             0.00014349
                     62,                0.63249,                0.59414,                 1.1736,                0.90168,                0.89951,                0.94233,                 0.7498,                0.80274,                0.56109,                 1.2531,             0.00014007,             0.00014007,             0.00014007
