                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.62628,                 1.0138,                0.98668,                 1.2245,                0.76708,                0.74435,                0.79978,                0.67979,                0.75577,                0.72536,                0.78111,                0.66372,                0.62165,                 1.3256,                0.96897,                 1.2628,             0.00028615,             0.00028615,             0.00028615
                     25,                0.62088,                 1.0074,                0.97223,                   1.22,                0.79106,                0.72744,                0.80068,                 0.6774,                 0.7761,                 0.7145,                0.78435,                0.65724,                0.63872,                 1.3692,                0.97982,                  1.286,              0.0002812,              0.0002812,              0.0002812
                     26,                0.60685,                0.98398,                0.93843,                 1.2064,                0.77323,                0.72654,                0.79916,                0.68751,                0.77195,                0.71211,                0.78397,                0.66985,                0.60807,                 1.3302,                0.97195,                 1.2418,             0.00027625,             0.00027625,             0.00027625
                     27,                 0.6101,                0.99156,                0.94816,                 1.2131,                0.75637,                0.72238,                0.78885,                0.67234,                0.74823,                0.70244,                0.76576,                 0.6526,                0.62467,                 1.2874,                 1.0009,                 1.2745,              0.0002713,              0.0002713,              0.0002713
                     28,                0.59522,                0.96765,                0.93502,                  1.195,                0.73627,                0.76894,                0.80264,                0.68108,                0.72612,                0.75772,                0.78607,                0.65816,                0.61879,                 1.3242,                0.97214,                  1.248,             0.00026635,             0.00026635,             0.00026635
                     29,                0.58192,                0.93316,                0.89618,                 1.1857,                0.81466,                0.73082,                0.81409,                0.69935,                0.81054,                0.72668,                0.80201,                0.68709,                0.61082,                 1.2682,                0.90489,                 1.2445,              0.0002614,              0.0002614,              0.0002614
                     30,                0.57834,                0.94474,                0.89453,                 1.1802,                0.78867,                0.72674,                 0.8003,                0.67978,                0.77609,                0.71811,                0.77934,                0.66896,                0.59807,                 1.2505,                0.93999,                 1.2365,             0.00025645,             0.00025645,             0.00025645
                     31,                0.56879,                0.91624,                0.87569,                 1.1739,                0.77982,                0.73137,                0.81176,                0.69606,                0.77374,                0.72485,                0.79838,                0.67809,                0.57944,                 1.2809,                0.90656,                 1.2126,              0.0002515,              0.0002515,              0.0002515
                     32,                 0.5633,                0.91922,                0.86648,                 1.1708,                0.76499,                0.75784,                0.81132,                0.70347,                0.80946,                0.69879,                0.79095,                0.68184,                0.56199,                 1.2697,                0.89332,                 1.1971,             0.00024655,             0.00024655,             0.00024655
                     33,                0.55591,                0.90674,                0.84318,                  1.159,                0.75323,                0.74861,                0.80133,                0.69582,                0.74156,                0.73578,                0.78274,                 0.6722,                0.57076,                  1.285,                0.91947,                 1.2029,              0.0002416,              0.0002416,              0.0002416
                     34,                0.55669,                0.90567,                0.83973,                 1.1604,                0.77925,                0.76592,                0.80703,                0.70721,                0.78602,                 0.7439,                0.79464,                 0.6917,                0.58288,                 1.2833,                 0.8847,                 1.2202,             0.00023665,             0.00023665,             0.00023665
                     35,                0.54349,                0.90314,                 0.8239,                 1.1534,                0.77786,                0.78175,                0.82745,                0.71321,                0.77181,                0.77523,                0.81291,                0.69102,                0.58171,                 1.2666,                0.87253,                 1.2115,              0.0002317,              0.0002317,              0.0002317
                     36,                0.53399,                0.87806,                0.79944,                 1.1458,                0.77775,                0.77415,                0.81372,                0.71293,                0.77053,                0.75284,                0.79559,                0.69094,                0.55976,                 1.2195,                 0.9008,                 1.1955,             0.00022675,             0.00022675,             0.00022675
                     37,                0.52699,                0.86408,                0.79375,                 1.1353,                0.78435,                0.76606,                0.82363,                0.72338,                 0.7805,                0.75495,                0.80834,                 0.7021,                0.54546,                 1.2566,                0.85151,                 1.1726,              0.0002218,              0.0002218,              0.0002218
                     38,                0.52466,                0.84941,                0.78803,                 1.1349,                0.76426,                0.81014,                 0.8246,                0.72037,                0.75576,                 0.7987,                0.80645,                 0.7048,                0.54286,                 1.2205,                0.85183,                 1.1823,             0.00021685,             0.00021685,             0.00021685
                     39,                0.52318,                0.84562,                0.78247,                 1.1346,                0.77036,                0.79399,                0.82173,                0.72735,                 0.8095,                0.74684,                0.81241,                0.70064,                0.54367,                 1.2228,                0.83346,                 1.1732,              0.0002119,              0.0002119,              0.0002119
                     40,                0.51406,                0.81912,                0.76996,                 1.1239,                0.79218,                 0.7892,                0.82682,                0.72643,                 0.7948,                0.76004,                0.80937,                0.70619,                0.53494,                 1.1841,                0.81669,                 1.1739,             0.00020695,             0.00020695,             0.00020695
                     41,                0.51426,                 0.8114,                0.76453,                 1.1232,                0.77884,                0.78836,                0.82007,                0.73144,                0.77734,                0.77674,                0.81017,                0.71063,                0.51387,                 1.2068,                0.84887,                 1.1601,               0.000202,               0.000202,               0.000202
                     42,                0.50607,                0.83029,                0.75309,                 1.1188,                0.78021,                0.78261,                0.81804,                0.71303,                0.77521,                0.77948,                0.80741,                0.69374,                0.56001,                 1.2066,                0.87972,                 1.1868,             0.00019705,             0.00019705,             0.00019705
                     43,                0.49472,                 0.7997,                0.74001,                 1.1096,                0.79508,                 0.7754,                0.82651,                0.73079,                0.78593,                0.76671,                 0.8119,                0.70389,                0.54703,                 1.1969,                0.84537,                 1.1688,              0.0001921,              0.0001921,              0.0001921
                     44,                0.49605,                0.79127,                0.72593,                 1.1095,                0.81437,                0.76969,                0.82976,                0.72696,                0.79647,                0.75549,                0.81052,                 0.7041,                0.54116,                 1.2284,                0.83285,                 1.1747,             0.00018715,             0.00018715,             0.00018715
                     45,                0.48686,                 0.7903,                 0.7192,                 1.1033,                0.82169,                0.77362,                 0.8316,                0.73331,                0.80916,                0.75759,                 0.8146,                0.71486,                 0.5196,                 1.1729,                0.83249,                 1.1599,              0.0001822,              0.0001822,              0.0001822
                     46,                0.48726,                0.76799,                 0.7116,                 1.0993,                 0.7961,                0.76913,                0.81939,                 0.7282,                0.78323,                0.75567,                0.80576,                0.70491,                0.51694,                 1.1995,                0.86802,                 1.1603,             0.00017725,             0.00017725,             0.00017725
                     47,                0.47904,                 0.7612,                0.69771,                 1.0974,                0.81447,                0.75788,                0.82399,                0.73034,                 0.8032,                0.74571,                 0.8071,                0.71254,                0.53327,                 1.1718,                0.83677,                 1.1703,              0.0001723,              0.0001723,              0.0001723
                     48,                0.47377,                0.76197,                0.68908,                 1.0898,                0.78991,                 0.7815,                0.82705,                0.73302,                0.78279,                0.77402,                0.81605,                0.71343,                 0.5211,                 1.1771,                0.84348,                 1.1633,             0.00016735,             0.00016735,             0.00016735
                     49,                0.47092,                0.75991,                0.68722,                 1.0873,                0.80146,                0.77569,                0.82868,                0.73843,                0.78631,                0.76031,                0.81002,                 0.7155,                0.51926,                 1.1951,                0.82617,                   1.16,              0.0001624,              0.0001624,              0.0001624
                     50,                0.47029,                0.76809,                0.68326,                 1.0856,                0.83579,                0.76068,                0.82918,                 0.7359,                0.82195,                0.74722,                0.81349,                0.70997,                0.51181,                 1.2006,                0.83621,                 1.1532,             0.00015745,             0.00015745,             0.00015745
                     51,                0.47304,                0.75151,                0.68428,                 1.0873,                0.84279,                0.74795,                0.82958,                0.73571,                0.84141,                0.73294,                0.81565,                0.71712,                0.51964,                 1.1494,                0.81491,                 1.1554,              0.0001525,              0.0001525,              0.0001525
                     52,                0.46337,                0.72872,                0.66179,                 1.0817,                0.81848,                0.76393,                0.82568,                0.73329,                0.80583,                0.75117,                0.80499,                0.70979,                0.53095,                 1.2231,                 0.8138,                 1.1725,             0.00014755,             0.00014755,             0.00014755
                     53,                0.45605,                  0.737,                0.65422,                 1.0757,                0.77868,                 0.7964,                0.82536,                0.73732,                0.80018,                0.74636,                 0.8081,                0.70909,                0.52703,                 1.2087,                0.81833,                 1.1681,              0.0001426,              0.0001426,              0.0001426
                     54,                0.44824,                0.71131,                0.64752,                 1.0697,                0.78731,                0.78573,                0.82602,                0.73615,                0.77699,                0.77506,                0.81625,                0.71544,                0.50907,                 1.2257,                0.81869,                 1.1481,             0.00013765,             0.00013765,             0.00013765
                     55,                0.44774,                0.71765,                0.63996,                 1.0726,                0.79522,                0.79024,                0.82582,                0.73379,                0.79183,                0.78247,                 0.8148,                0.71909,                0.50413,                 1.1979,                0.83339,                 1.1473,              0.0001327,              0.0001327,              0.0001327
                     56,                0.44564,                0.71133,                0.64137,                 1.0679,                0.79469,                0.79052,                0.82857,                 0.7282,                0.78147,                0.77711,                0.81357,                0.71256,                0.51087,                 1.1791,                0.82576,                 1.1559,             0.00012775,             0.00012775,             0.00012775
                     57,                0.44278,                0.69698,                0.62768,                 1.0711,                0.80539,                0.77255,                0.82155,                0.73198,                0.79667,                0.76356,                0.80851,                0.71409,                0.50286,                 1.2206,                0.83013,                 1.1502,              0.0001228,              0.0001228,              0.0001228
                     58,                0.44022,                0.71591,                0.62021,                 1.0679,                0.81779,                0.76663,                0.82711,                 0.7382,                0.80777,                0.75142,                0.81724,                0.71699,                 0.5236,                 1.1948,                0.82227,                 1.1592,             0.00011785,             0.00011785,             0.00011785
                     59,                0.44023,                 0.6894,                0.61752,                 1.0659,                0.82458,                0.77478,                0.83358,                0.74144,                0.80561,                0.77019,                0.82074,                0.72492,                0.50182,                 1.1529,                0.80538,                 1.1413,              0.0001129,              0.0001129,              0.0001129
                     60,                0.43755,                 0.6928,                0.61564,                 1.0595,                0.81135,                0.77329,                0.83211,                0.73654,                0.80366,                0.76175,                0.81807,                 0.7182,                0.50088,                 1.1544,                0.80816,                 1.1468,             0.00010795,             0.00010795,             0.00010795
                     61,                 0.4269,                 0.6912,                0.59539,                 1.0559,                0.83778,                0.75919,                0.83117,                0.73812,                0.82804,                0.74776,                0.81535,                0.72035,                0.50242,                  1.165,                0.82148,                 1.1538,               0.000103,               0.000103,               0.000103
                     62,                0.43138,                0.68842,                0.61241,                 1.0598,                0.81832,                 0.7695,                0.82952,                0.73965,                0.77842,                0.78314,                0.81652,                0.72487,                0.49858,                 1.1787,                0.79918,                 1.1444,              9.805e-05,              9.805e-05,              9.805e-05
                     63,                0.42326,                0.67884,                0.59515,                 1.0493,                0.81211,                0.79612,                0.83064,                0.74211,                  0.797,                0.78121,                0.81301,                0.72364,                0.48924,                 1.1903,                0.80927,                 1.1402,               9.31e-05,               9.31e-05,               9.31e-05
                     64,                0.42421,                0.67937,                0.59325,                 1.0522,                 0.8206,                0.77199,                0.83161,                 0.7406,                0.81002,                0.76073,                0.81616,                0.72412,                0.49858,                 1.1656,                0.80739,                 1.1497,              8.815e-05,              8.815e-05,              8.815e-05
                     65,                 0.4158,                0.66146,                0.58115,                 1.0461,                0.83603,                0.76504,                0.82596,                 0.7443,                0.82551,                 0.7537,                0.81508,                0.72205,                 0.4904,                 1.1363,                 0.8138,                  1.143,               8.32e-05,               8.32e-05,               8.32e-05
                     66,                0.41713,                0.67006,                 0.5804,                 1.0481,                0.84266,                0.75541,                0.82793,                0.74294,                0.82985,                0.73939,                0.81109,                0.72139,                0.49312,                 1.1558,                0.81589,                 1.1446,              7.825e-05,              7.825e-05,              7.825e-05
                     67,                0.41822,                0.66725,                0.57076,                 1.0456,                0.80936,                0.77509,                0.82559,                0.73972,                0.79105,                0.75762,                0.80745,                0.71637,                0.49678,                 1.2136,                0.82383,                 1.1543,               7.33e-05,               7.33e-05,               7.33e-05
                     68,                0.40959,                0.64669,                 0.5688,                  1.039,                0.83015,                0.77353,                0.83523,                0.74034,                0.81234,                0.75565,                0.81463,                0.72177,                0.50855,                 1.2134,                0.81685,                 1.1584,              6.835e-05,              6.835e-05,              6.835e-05
                     69,                0.40717,                 0.6464,                0.56148,                 1.0368,                 0.8213,                0.75939,                0.82616,                0.74403,                0.81428,                0.74357,                0.81242,                0.72455,                0.49491,                 1.1684,                0.82277,                 1.1387,               6.34e-05,               6.34e-05,               6.34e-05
                     70,                0.40336,                0.64324,                0.55149,                 1.0341,                0.85533,                0.72937,                0.82038,                0.73986,                0.84385,                0.71814,                0.80708,                0.71916,                0.49177,                 1.1753,                0.82151,                 1.1408,              5.845e-05,              5.845e-05,              5.845e-05
